Q,F
0.025,2.171902710926842
0.07500000000000001,2.171902710926842
0.125,2.171902710926842
0.175,2.171902710926842
0.225,2.171902710926842
0.275,2.171902710926842
0.32499999999999996,2.171902710926842
0.375,1.6225965665927873
0.42500000000000004,1.3671837547097916
0.475,0.5624647984927416
0.525,0.20598989456467898
0.575,0.0
0.625,0.05484945862821222
0.675,0.026672990352646364
0.725,0.36644375460472967
0.775,0.604155602962267
0.825,0.24682891007181262
0.875,2.171902710926842
0.925,2.171902710926842
0.975,2.171902710926842
